name;Location;Employee ID;Tax Class;AT Level;Status;Days Worked;Phone Number;Birthday;Password
Henner Römer;Leipzig;69819545;4;AT2;ACTIVE;null;0173965019;1978-08-07;JXXN3qnZgg
Svenja Geisler;Berlin;45151585;1;AT2;ACTIVE;null;0155565119;1973-09-06;16lhR5Qt8M
Aline Walter;Berlin;42600391;1;AT1;ACTIVE;null;0164290421;1990-05-15;Jdf1JX2fE5
Falko Röhrdanz;Munich;83675977;1;AT2;ACTIVE;null;0173006671;1969-07-07;aivTJdQ1WG
Maurizio Noack;Dortmund;90881621;1;AT2;ACTIVE;null;0160941354;1970-10-22;ioDSBqIdsG
Gönül Lindau;Dortmund;79227950;4;AT1;ACTIVE;null;0158078531;1983-12-03;Wfcaoipgzq
Mira Stey;Dresden;96151283;1;AT1;ACTIVE;null;0154338731;1966-11-21;9MIL3a1SnN
Ira Schmidtke;Munich;17043516;1;AT1;ACTIVE;null;0174980196;1979-10-17;npyXKA8xoA
Zehra Jäkel;Munich;88265793;4;AT1;ACTIVE;null;0173772093;1991-11-30;L20qIbdi1B
Christine Drub;Düsseldorf;22134579;3;AT1;ACTIVE;null;0158306264;1975-03-19;R1teJRvGw4
Bayram Heuser;Dresden;17086590;1;AT1;ACTIVE;null;0178217994;1971-08-20;uqzggcsvsN
Diana Jacobi Jäckel;Frankfurt;58656029;1;AT1;ACTIVE;null;0168056956;1971-02-09;LUKfIKzxRf
Natalja Otto;Munich;40693579;1;AT1;ACTIVE;null;0159883948;1998-08-07;t7ZokmSE4k
Mara Reuter;Stuttgart;99819143;1;AT1;ACTIVE;7;0157541361;1977-08-29;qpZ65cKlOY
Annaliese Stey;Frankfurt;44945125;4;AT1;ACTIVE;null;0172715024;1965-02-22;4R9djEBS0n
Brigitte Lehmann;Munich;77676366;4;AT2;ACTIVE;null;0165138771;1976-05-07;Q4IgQfiXHf
Marlis Sölzer;Dresden;68877207;3;AT1;ACTIVE;null;0172578974;1985-05-19;EVqYV0sJJ5
Siegmar Wiek;Leipzig;60654463;4;AT2;ACTIVE;null;0176365000;1970-04-13;T1FqgZZ77F
Fridolin Röhricht;Düsseldorf;19350600;3;AT1;ACTIVE;null;0177870851;1967-09-29;vag7Yto9zF
Ernst-Otto Geisel;Munich;48552388;3;AT2;ACTIVE;null;0156803475;1968-03-30;RgvqBA12Ra
Katalin Kranz;Dresden;78589054;3;AT1;ACTIVE;null;0175199583;1976-03-30;Ad5nONIiEU
Danny Wiek;Dortmund;63280451;3;AT1;ACTIVE;null;0167729449;1961-02-25;EjeSnP5Nwx
